entry_time,exit_time,strategy,direction,regime,entry,exit,stop,target,size_btc,intended_rr,exit_reason,gross_pnl,fees,net_pnl,r_multiple,hold_bars_4h
2026-01-04T20:00:00+00:00,2026-01-05T12:00:00+00:00,ema_trend,long,trending_up,91533.35177,93647.88920703241,90420.8539976831,93675.9920046338,0.10928257,1.926,target,231.08,12.14,218.94,1.801,4
2026-01-05T00:00:00+00:00,2026-01-06T16:00:00+00:00,ema_trend,long,trending_up,92887.05776,91619.35965602066,91646.85371213431,95283.89257573137,0.10918551,1.933,stop,-138.41,12.09,-150.5,-1.111,10
2026-01-09T04:00:00+00:00,2026-01-09T12:00:00+00:00,ema_trend,short,trending_down,90638.70023,91688.8663233966,91661.3679130227,88674.96417395459,0.11091667,1.92,stop,-116.48,12.13,-128.61,-1.134,2
2026-01-14T12:00:00+00:00,2026-01-16T12:00:00+00:00,ema_trend,long,trending_up,96795.93007,95007.62956109097,95036.14040321193,100228.41919357612,0.08599114,1.951,stop,-153.78,9.9,-163.67,-1.082,12
2026-01-25T16:00:00+00:00,2026-01-26T00:00:00+00:00,ema_trend,short,trending_down,86367.58195,87733.0791296528,87706.76709952294,83766.96580095412,0.11140155,1.942,stop,-152.12,11.64,-163.76,-1.098,2
2026-01-31T16:00:00+00:00,2026-02-04T16:00:00+00:00,ema_trend,short,trending_down,77628.40449,72308.77246186935,80334.00683201572,72287.08633596856,0.05359193,1.974,target,285.09,4.82,280.27,1.933,24
2026-02-12T16:00:00+00:00,2026-02-13T12:00:00+00:00,ema_trend,short,trending_down,65712.08046,68159.18703167401,68138.7454080516,60917.9091838968,0.06145548,1.976,stop,-150.39,4.94,-155.32,-1.042,5
2026-02-13T04:00:00+00:00,2026-02-13T12:00:00+00:00,ema_trend,short,trending_down,66131.55458,68159.72086702932,68139.27908330433,62175.64183339133,0.07418962,1.97,stop,-150.47,5.98,-156.45,-1.05,2
2026-03-15T20:00:00+00:00,2026-03-17T00:00:00+00:00,ema_trend,long,trending_up,72837.8448,75573.27698782913,71426.02211271925,75595.9557745615,0.10299444,1.954,target,281.73,9.17,272.56,1.874,7
2026-03-17T16:00:00+00:00,2026-03-18T08:00:00+00:00,ema_trend,long,trending_up,74556.46023,72842.40810429565,72864.267384511,77873.76523097802,0.08814057,1.96,stop,-151.08,7.8,-158.87,-1.065,4
2026-03-20T12:00:00+00:00,2026-03-23T12:00:00+00:00,ema_trend,short,trending_down,69844.44038,71595.57898531859,71574.1067532926,66447.98649341479,0.08470733,1.964,stop,-148.33,7.19,-155.52,-1.061,18
2026-04-11T16:00:00+00:00,2026-04-12T00:00:00+00:00,ema_trend,long,trending_up,73729.21213,72377.93300404525,72399.65289991522,76321.99420016957,0.11044423,1.95,stop,-149.24,9.68,-158.92,-1.082,2
2026-04-09T12:00:00+00:00,2026-04-12T20:00:00+00:00,ema_trend,long,trending_up,72171.24488,70567.24323506147,70588.41976098977,75271.96047802048,0.09118101,1.959,stop,-146.25,7.81,-154.06,-1.067,20
2026-04-13T16:00:00+00:00,2026-04-14T12:00:00+00:00,ema_trend,long,trending_down,73373.0053,76084.37579491976,71972.89602134652,76107.20795730696,0.09979653,1.953,target,270.59,8.95,261.64,1.872,5
2026-04-17T12:00:00+00:00,2026-04-18T08:00:00+00:00,ema_trend,long,trending_up,77847.74732,76153.37673286373,76176.22960174426,81120.74079651147,0.08578603,1.958,stop,-145.35,7.93,-153.28,-1.069,5
2026-04-23T12:00:00+00:00,2026-04-27T12:00:00+00:00,ema_trend,long,trending_up,78429.92192,76822.50218285024,76845.55584960512,81528.08830078974,0.08907359,1.955,stop,-143.18,8.3,-151.48,-1.073,24
2026-04-23T20:00:00+00:00,2026-04-27T12:00:00+00:00,ema_trend,long,trending_up,78309.4858,76886.6018456257,76909.67474805012,81038.65050389976,0.10082645,1.95,stop,-143.46,9.39,-152.85,-1.083,22
2026-05-06T08:00:00+00:00,2026-05-06T12:00:00+00:00,ema_trend,long,trending_up,82546.7566,81113.89631950452,81138.23779084178,85289.52441831643,0.09870915,1.947,stop,-141.44,9.69,-151.13,-1.087,1
2026-05-05T00:00:00+00:00,2026-05-08T00:00:00+00:00,ema_trend,long,trending_up,80898.56229,79447.25253965732,79471.09386781766,83680.71226436469,0.09573076,1.949,stop,-138.93,9.21,-148.15,-1.084,18
2026-05-10T12:00:00+00:00,2026-05-10T20:00:00+00:00,ema_trend,long,trending_up,81422.61946,80450.84140269484,80474.98389786421,83244.63220427158,0.10622347,1.923,stop,-103.23,10.32,-113.54,-1.128,2
2026-05-11T16:00:00+00:00,2026-05-12T00:00:00+00:00,ema_trend,long,trending_up,81972.5844,80749.63465448027,80773.86681452462,84296.26637095076,0.1040616,1.938,stop,-127.26,10.16,-137.42,-1.102,2
