timestamp,equity
2025-11-27T12:00:00+00:00,10000.0
2025-11-27T16:00:00+00:00,10000.0
2025-11-27T20:00:00+00:00,10000.0
2025-11-28T00:00:00+00:00,10000.0
2025-11-28T04:00:00+00:00,10000.0
2025-11-28T08:00:00+00:00,10000.0
2025-11-28T12:00:00+00:00,10000.0
2025-11-28T16:00:00+00:00,10000.0
2025-11-28T20:00:00+00:00,10000.0
2025-11-29T00:00:00+00:00,10000.0
2025-11-29T04:00:00+00:00,10000.0
2025-11-29T08:00:00+00:00,10000.0
2025-11-29T12:00:00+00:00,10000.0
2025-11-29T16:00:00+00:00,10000.0
2025-11-29T20:00:00+00:00,10000.0
2025-11-30T00:00:00+00:00,10000.0
2025-11-30T04:00:00+00:00,10000.0
2025-11-30T08:00:00+00:00,10000.0
2025-11-30T12:00:00+00:00,10000.0
2025-11-30T16:00:00+00:00,10000.0
2025-11-30T20:00:00+00:00,10000.0
2025-12-01T00:00:00+00:00,10000.0
2025-12-01T04:00:00+00:00,10000.0
2025-12-01T08:00:00+00:00,10000.0
2025-12-01T12:00:00+00:00,10000.0
2025-12-01T16:00:00+00:00,10000.0
2025-12-01T20:00:00+00:00,10000.0
2025-12-02T00:00:00+00:00,10000.0
2025-12-02T04:00:00+00:00,10000.0
2025-12-02T08:00:00+00:00,10000.0
2025-12-02T12:00:00+00:00,10000.0
2025-12-02T16:00:00+00:00,10000.0
2025-12-02T20:00:00+00:00,10000.0
2025-12-03T00:00:00+00:00,10000.0
2025-12-03T04:00:00+00:00,10000.0
2025-12-03T08:00:00+00:00,10000.0
2025-12-03T12:00:00+00:00,10000.0
2025-12-03T16:00:00+00:00,10000.0
2025-12-03T20:00:00+00:00,10000.0
2025-12-04T00:00:00+00:00,10000.0
2025-12-04T04:00:00+00:00,10000.0
2025-12-04T08:00:00+00:00,10000.0
2025-12-04T12:00:00+00:00,10000.0
2025-12-04T16:00:00+00:00,10000.0
2025-12-04T20:00:00+00:00,10000.0
2025-12-05T00:00:00+00:00,10000.0
2025-12-05T04:00:00+00:00,10000.0
2025-12-05T08:00:00+00:00,10000.0
2025-12-05T12:00:00+00:00,10000.0
2025-12-05T16:00:00+00:00,10000.0
2025-12-05T20:00:00+00:00,10000.0
2025-12-06T00:00:00+00:00,10000.0
2025-12-06T04:00:00+00:00,10000.0
2025-12-06T08:00:00+00:00,10000.0
2025-12-06T12:00:00+00:00,10000.0
2025-12-06T16:00:00+00:00,10000.0
2025-12-06T20:00:00+00:00,10000.0
2025-12-07T00:00:00+00:00,10000.0
2025-12-07T04:00:00+00:00,10000.0
2025-12-07T08:00:00+00:00,10000.0
2025-12-07T12:00:00+00:00,10000.0
2025-12-07T16:00:00+00:00,10000.0
2025-12-07T20:00:00+00:00,10000.0
2025-12-08T00:00:00+00:00,10000.0
2025-12-08T04:00:00+00:00,10000.0
2025-12-08T08:00:00+00:00,10000.0
